UNITID,INSTNM,CITY,STABBR,ZIP,HIGHDEG,ST_FIPS,LATITUDE,LONGITUDE,LOCALE,ADM_RATE,SAT_AVG,C150_4,UGDS_MEN,UGDS_WOMEN
130934,Delaware State University,Dover,DE,19901,4,10,39.187173,-75.54053,13,0.6167,984,0.3866,0.3501,0.6499
130943,University of Delaware,Newark,DE,19716,4,10,39.679577,-75.752822,21,0.6511,1297,0.7878,0.4014,0.5986
131159,American University,Washington,DC,20016-8001,4,11,38.936005,-77.088875,11,0.4738,1392,0.7849,0.3645,0.6355
131450,Gallaudet University,Washington,DC,20002-3695,4,11,38.907371,-76.993675,11,0.6094,857,0.4656,0.4812,0.5188
131469,George Washington University,Washington,DC,20052,4,11,38.89923,-77.048363,11,0.4354,1433,0.8518,0.3678,0.6322
131496,Georgetown University,Washington,DC,20057-0001,4,11,38.908809,-77.073463,11,0.1308,1494,0.943,0.415,0.585
131520,Howard University,Washington,DC,20059,4,11,38.922392,-77.018966,11,0.3489,1205,0.689,0.273,0.727
132408,Baptist University of Florida,Graceville,FL,32440,4,12,30.962708,-85.503931,42,0.641,1045,0.6923,0.5242,0.4758
132602,Bethune-Cookman University,Daytona Beach,FL,32114-3099,4,12,29.207195,-81.032946,13,0.9985,913,0.2783,0.3666,0.6334
132657,Lynn University,Boca Raton,FL,33431-5598,4,12,26.385985,-80.122806,13,0.7395,1136,0.5269,0.4957,0.5043
132879,Johnson University Florida,Kissimmee,FL,34744,3,12,28.302547,-81.363053,21,0.2332,940,0.2364,0.7426,0.2574
132903,University of Central Florida,Orlando,FL,32816,4,12,28.602159,-81.200889,21,0.3952,1277,0.7515,0.4573,0.5427
133492,Eckerd College,Saint Petersburg,FL,33711-4700,3,12,27.715798,-82.687043,11,0.7869,1256,0.6756,0.2949,0.7051
133553,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,4,12,29.189903,-81.048367,13,0.6628,1256,0.6736,0.7301,0.2699
133650,Florida Agricultural and Mechanical University,Tallahassee,FL,32307,4,12,30.428504,-84.290226,12,0.2112,1100,0.5194,0.3371,0.6629
133669,Florida Atlantic University,Boca Raton,FL,33431-0991,4,12,26.372421,-80.102978,13,0.7344,1119,0.6433,0.4286,0.5714
133711,Flagler College,Saint Augustine,FL,32084,4,12,29.892733,-81.314887,23,0.7809,1099,0.5589,0.3211,0.6789
133809,Florida College,Temple Terrace,FL,33617,3,12,28.034936,-82.383289,21,0.6645,1068,0.5064,0.489,0.511
133881,Florida Institute of Technology,Melbourne,FL,32901-6975,4,12,28.065773,-80.623123,13,0.6253,1213,0.6545,0.673,0.327
133951,Florida International University,Miami,FL,33199,4,12,25.75732,-80.373928,21,0.5884,1154,0.7387,0.4419,0.5581
134079,Florida Southern College,Lakeland,FL,33801-5698,4,12,28.032443,-81.948203,12,0.5907,1263,0.6933,0.3682,0.6318
134097,Florida State University,Tallahassee,FL,32306-1037,4,12,30.443147,-84.295064,12,0.2538,1323,0.8299,0.4347,0.5653
134130,University of Florida,Gainesville,FL,32611,4,12,29.64629,-82.347911,12,0.2403,1397,0.9151,0.4446,0.5554
134945,Jacksonville University,Jacksonville,FL,32211-3394,4,12,30.353227,-81.60458,11,0.5729,1211,0.5697,0.4035,0.5965
135726,University of Miami,Coral Gables,FL,33146,4,12,25.72126,-80.278662,21,0.1851,1416,0.8423,0.4603,0.5397
136172,University of North Florida,Jacksonville,FL,32224-7699,4,12,30.27194,-81.509144,11,0.6227,1115,0.6818,0.4243,0.5757
136215,Nova Southeastern University,Fort Lauderdale,FL,33328-2004,4,12,26.082288,-80.249891,21,0.7267,1182,0.6434,0.2822,0.7178
136330,Palm Beach Atlantic University,West Palm Beach,FL,33401,4,12,26.7044,-80.05247,12,0.8832,1101,0.5895,0.3486,0.6514
136950,Rollins College,Winter Park,FL,32789-4499,4,12,28.592787,-81.349239,21,0.4056,1304,0.7689,0.4047,0.5953
137351,University of South Florida,Tampa,FL,33620-9951,4,12,28.061458,-82.413232,11,0.4096,1235,0.7458,0.4364,0.5636
137546,Stetson University,DeLand,FL,32723,4,12,29.035475,-81.300746,13,0.8643,1208,0.628,0.4311,0.5689
137953,Trinity Baptist College,Jacksonville,FL,32221,4,12,30.311171,-81.79626,11,0.625,1007,0.4423,0.6006,0.3994
137962,Trinity College of Florida,Trinity,FL,34655-4401,3,12,28.194732,-82.678318,21,0.963,905,0,0.5187,0.4813
138275,Warner University,Lake Wales,FL,33859-8797,4,12,27.825751,-81.599972,41,0.4779,937,0.3492,0.5126,0.4874
138354,University of West Florida,Pensacola,FL,32514-5750,4,12,30.549076,-87.218511,41,0.5687,1137,0.6176,0.4263,0.5737
138558,Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,3,13,31.481889,-83.528281,32,0.7716,994,0.2912,0.4055,0.5945
138600,Agnes Scott College,Decatur,GA,30030-3770,4,13,33.769268,-84.295459,21,0.6731,1296,0.7052,0,1
138868,Point University,West Point,GA,31833,4,13,32.87912,-85.184931,32,0.6751,1059,0.4044,0.4597,0.5403
139144,Berry College,Mount Berry,GA,30149,4,13,34.290414,-85.189202,23,0.6185,1223,0.7391,0.3732,0.6268
139199,Brenau University,Gainesville,GA,30501-3668,4,13,34.303117,-83.821513,13,0.8696,1087,0.3536,0.0754,0.9246
139250,College of Coastal Georgia,Brunswick,GA,31520-3644,3,13,31.181983,-81.486169,13,0.9851,1001,0.2556,0.2899,0.7101
139311,Clayton  State University,Morrow,GA,30260-0285,4,13,33.594079,-84.328174,21,0.7059,973,0.3539,0.2991,0.7009
139366,Columbus State University,Columbus,GA,31907-5645,4,13,32.50096,-84.94106,12,0.9924,994,0.4174,0.4165,0.5835
139393,Covenant College,Lookout Mountain,GA,30750-4164,4,13,34.965161,-85.375066,21,0.8176,1254,0.7186,0.4685,0.5315
139658,Emory University,Atlanta,GA,30322,4,13,33.790183,-84.325512,11,0.111,1507,0.9176,0.429,0.571
139719,Fort Valley State University,Fort Valley,GA,31030-4313,4,13,32.537595,-83.89537,31,0.628,864,0.4519,0.3451,0.6549
139755,Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,4,13,33.77242,-84.394832,11,0.1646,1447,0.9228,0.6023,0.3977
139764,Georgia Southwestern State University,Americus,GA,31709-4693,4,13,32.054662,-84.217738,32,0.7716,998,0.3191,0.3156,0.6844
139861,Georgia College & State University,Milledgeville,GA,31061,4,13,33.082787,-83.231962,32,0.8777,1150,0.6157,0.3545,0.6455
139931,Georgia Southern University,Statesboro,GA,30460-8126,4,13,32.426153,-81.784045,32,0.8963,1057,0.5205,0.4336,0.5664
139940,Georgia State University,Atlanta,GA,30303-3083,4,13,33.7527,-84.38667,11,0.6228,1149,0.5372,0.4056,0.5944
139959,University of Georgia,Athens,GA,30602,4,13,33.956262,-83.374039,12,0.372,1301,0.8716,0.4217,0.5783
139968,Gordon State College,Barnesville,GA,30204,3,13,33.04571,-84.154508,32,0.8678,950,0.1731,0.3436,0.6564
140252,Life University,Marietta,GA,30060,4,13,33.932781,-84.514729,13,0.9381,994,0.3214,0.5201,0.4799
140447,Mercer University,Macon,GA,31207,4,13,32.829134,-83.649392,12,0.6646,1280,0.7339,0.3554,0.6446
140553,Morehouse College,Atlanta,GA,30314,3,13,33.745982,-84.414917,11,0.5139,1050,0.5267,0.9996,4e-4
140696,Oglethorpe University,Atlanta,GA,30319-2797,3,13,33.875441,-84.333687,21,0.6006,1230,0.5392,0.3807,0.6193
140818,Piedmont University,Demorest,GA,30535-0010,4,13,34.566042,-83.542126,32,0.9284,1074,0.4146,0.319,0.681
140951,Savannah College of Art and Design,Savannah,GA,31402-3146,4,13,32.072964,-81.09395,12,0.8368,1178,0.7048,0.2969,0.7031
140988,Shorter University,Rome,GA,30165,4,13,34.257543,-85.196529,13,0.9693,1075,0.3708,0.472,0.528
141060,Spelman College,Atlanta,GA,30314-4399,3,13,33.745279,-84.411527,11,0.3409,1184,0.761,0.071,0.929
