Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Aaniiih Nakoda College,MT,Test Optional,,Unannounced,,,Public
Abilene Christian University,TX,Test Optional,6,Unannounced,https://www.wrdw.com/2023/04/24/au-sees-higher-enrollment-numbers-after-keeping-test-scores-optional/,21%,Private not-for-profit
Abraham Baldwin Agricultural College,GA,Test Optional,,Yes,https://www.valdosta.edu/about/news/releases/2024/04/test-optional-waiver-to-attend-vsu-extended-through-summer-2026.php,37%,Public
Abraham Lincoln University,CA,Test Optional,,Unannounced,,,
Academy College,MN,Test Optional,3,Unannounced,,,Private for-profit
Academy of Art University,CA,Test Optional,,Unannounced,,,Private for-profit
Adams State University,CO,Test Optional,,Unannounced,https://highered.colorado.gov/college-admission-use-of-national-test-scores,73%,Public
Adelphi University,NY,Test Optional,,Yes,https://www.adelphi.edu/admissions/first-year/apply/,91%,Private not-for-profit
Adrian College,MI,Test Optional,,Yes,,-15%,Private not-for-profit
AdventHealth University,FL,Test Optional,1,Unannounced,,,Private not-for-profit
Agape College of Business and Science,CA,Test Optional,6,Unannounced,https://www.acbscollege.org/academic-catalogs,,Private not-for-profit
Agnes Scott College,GA,Test Optional,,No,https://www.agnesscott.edu/admission/high-school-students/admission-requirements.html,44%,Private not-for-profit
Alabama A & M University,AL,Test Optional,3,Unannounced,https://www.aamu.edu/admissions-aid/undergraduate-admissions/waiver-act-sat-testing-requirements.html,30%,Public
Alabama State University,AL,Test Optional,6,No,https://www.alasu.edu/websites/undergraduate-admission.php,53%,Public
Alaska Pacific University,AK,Test Free,,No,https://www.alaskapacific.edu/alaska-pacific-university-announces-test-blind-policy-for-undergraduate-admissions/,,Private not-for-profit
Albany College of Pharmacy and Health Sciences,NY,Test Optional,,No,https://www.acphs.edu/admissions-requirements,65%,Private not-for-profit
Albany State University,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
Albertus Magnus College,CT,Test Optional,,No,,,Private not-for-profit
Albion College,MI,Test Optional,,Yes,https://www.albion.edu/admission/first-year/,100%,Private not-for-profit
Albizu University-Miami,FL,Test Optional,,Unannounced,,,Private not-for-profit
Albright College,PA,Test Optional,,No,,100%,Private not-for-profit
Alfred University,NY,Test Optional,,Yes,https://www.alfred.edu/admissions/undergraduate/first-year.cfm,68%,Private not-for-profit
Alice Lloyd College,KY,Test Optional,,Unannounced,,12%,Private not-for-profit
Allegheny College,PA,Test Optional,3,No,https://sites.allegheny.edu/admissions/why-test-optional/,68%,Private not-for-profit
Allen College,IA,Test Optional,,Unannounced,,,Private not-for-profit
Allen University,SC,Test Optional,,Unannounced,,,Private not-for-profit
Alliant International University-San Diego,CA,Test Optional,6,Unannounced,https://catalog.alliant.edu/content.php?catoid=43&navoid=1624#undg_program_adm_req,,Private for-profit
Alma College,MI,Test Optional,3,Unannounced,https://www.alma.edu/admissions/apply/first-year-students/,,Private not-for-profit
Alpena Community College,MI,Test Optional,6,Unannounced,https://discover.alpenacc.edu/admissions/apply_for_admission/admission_requirements.php,,Public
Alvernia University,PA,Test Optional,,Yes,https://www.alvernia.edu/admissions-aid/undergraduate-admissions,92%,Private not-for-profit
Alverno College,WI,Test Optional,,No,https://www.alverno.edu/High-School-Admissions,,Private not-for-profit
Amberton University,TX,Test Free,,No,,,
America Evangelical University,CA,Test Optional,,Unannounced,https://aeu.edu/?adm=12#about,,Private not-for-profit
American Baptist College,TN,Test Optional,,Unannounced,,,Private not-for-profit
American Business and Technology University,MO,Test Optional,,Unannounced,,,
American InterContinental University,--,Test Optional,,Unannounced,,,
American InterContinental University-Atlanta,GA,Test Optional,,Unannounced,https://www.aiuniv.edu/admissions/requirements,,Private for-profit
American InterContinental University-Houston,TX,Test Optional,,Unannounced,https://www.aiuniv.edu/admissions/requirements,,Private for-profit
American International College,MA,Test Optional,,No,,100%,Private not-for-profit
American Islamic College,IL,Test Optional,,Unannounced,,,Private not-for-profit
American Medical Academy,FL,Test Optional,,Unannounced,https://ama.edu/bsn/,,Private for-profit
American Medical Sciences Center,CA,Test Optional,6,Unannounced,https://amsc.edu/admissions/,,Private for-profit
American Musical and Dramatic Academy,NY,Test Optional,,Unannounced,,100%,Private not-for-profit
American National University,VA,Test Optional,,Unannounced,,,Private for-profit
American National University-Pikeville,KY,Test Optional,,Unannounced,,,Private for-profit
American Public University System,--,Test Optional,,Unannounced,,,
American Samoa Community College,AS,Test Optional,6,Unannounced,https://www.amsamoa.edu/admissions.html,,Public
American University,DC,Test Optional,,No,,58%,Private not-for-profit
American University of Health Sciences,CA,Test Optional,6,Unannounced,https://www.auhs.edu/admissions/admissions-procedures/,,Private for-profit
Amherst College,MA,Test Optional,,No,https://www.amherst.edu/admission/apply/firstyear/testing,39%,Private not-for-profit
Amridge University,--,Test Optional,,Unannounced,,,
Ana G. Mendez University,FL,Test Optional,,Unannounced,https://agmu.edu/en/academic-offer/bba-accounting-online,,Private not-for-profit
Anderson University,IN,Test Optional,,Unannounced,https://anderson.edu/blog-stories/act-sat-now-test-optional/,43%,Private not-for-profit
Anderson University,SC,Test Optional,,Unannounced,https://www.andrewcollege.edu/admission-requirements/,100%,Private not-for-profit
Andrew College,GA,Test Optional,,Unannounced,https://www.andrewcollege.edu/admission-requirements/,100%,Private not-for-profit
Andrews University,MI,Test Optional,3,Unannounced,https://www.andrews.edu/admissions/freshman/index.html,26%,Private not-for-profit
